Año,Grandes Grupos,Quinquenal,Subgrupo Farmacológico,Sexo,Nivel Renta,Situación Laboral,Tamaño Municipio,Personas con medicamento,Porcentaje
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,10.001-50.000 hab,1958.0,0.0023
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,50.001-100.000 hab,1046.0,0.0012
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,100.001-500.000 hab,1297.0,0.0015
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,>500.000 hab,480.0,0.0006
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,Muy baja,No activos,100.001-500.000 hab,313.0,0.0004
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Hombre,18.000-99.999 ? /año,No activos,10.001-50.000 hab,397.0,0.0005
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Hombre,18.000-99.999 ? /año,No activos,100.001-500.000 hab,366.0,0.0004
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,<10.000 hab,480.0,0.0006
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,10.001-50.000 hab,543.0,0.0006
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,50.001-100.000 hab,377.0,0.0004
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,100.001-500.000 hab,497.0,0.0006
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Mujer,18.000-99.999 ? /año,No activos,<10.000 hab,282.0,0.0003
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Mujer,18.000-99.999 ? /año,No activos,10.001-50.000 hab,566.0,0.0007
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Mujer,18.000-99.999 ? /año,No activos,50.001-100.000 hab,519.0,0.0006
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Mujer,18.000-99.999 ? /año,No activos,100.001-500.000 hab,765.0,0.0009
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Mujer,18.000-99.999 ? /año,No activos,>500.000 hab,401.0,0.0005
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,<10.000 hab,721.0,0.0008
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,10.001-50.000 hab,1413.0,0.0017
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,50.001-100.000 hab,735.0,0.0009
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,100.001-500.000 hab,1002.0,0.0012
2017,15-34 años,15-19 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,>500.000 hab,595.0,0.0007
2017,15-34 años,20-24 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,Activos,10.001-50.000 hab,335.0,0.0004
2017,15-34 años,20-24 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,No activos,10.001-50.000 hab,494.0,0.0006
2017,15-34 años,20-24 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,No activos,50.001-100.000 hab,390.0,0.0005
2017,15-34 años,20-24 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,No activos,100.001-500.000 hab,394.0,0.0005
2017,15-34 años,20-24 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,Activos,10.001-50.000 hab,282.0,0.0003
2017,15-34 años,20-24 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,Activos,100.001-500.000 hab,276.0,0.0003
2017,15-34 años,20-24 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,No activos,<10.000 hab,275.0,0.0003
2017,15-34 años,20-24 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,No activos,100.001-500.000 hab,319.0,0.0004
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,18.000-99.999 ? /año,No activos,10.001-50.000 hab,345.0,0.0004
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,18.000-99.999 ? /año,No activos,100.001-500.000 hab,506.0,0.0006
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,18.000-99.999 ? /año,No activos,>500.000 hab,318.0,0.0004
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Activos,<10.000 hab,1132.0,0.0013
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Activos,10.001-50.000 hab,1657.0,0.0019
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Activos,50.001-100.000 hab,742.0,0.0009
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Activos,100.001-500.000 hab,1229.0,0.0014
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Activos,>500.000 hab,326.0,0.0004
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,<10.000 hab,761.0,0.0009
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,10.001-50.000 hab,1092.0,0.0013
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,50.001-100.000 hab,673.0,0.0008
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,100.001-500.000 hab,987.0,0.0012
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,>500.000 hab,318.0,0.0004
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,No activos,<10.000 hab,576.0,0.0007
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,No activos,10.001-50.000 hab,908.0,0.0011
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,No activos,50.001-100.000 hab,620.0,0.0007
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,No activos,100.001-500.000 hab,941.0,0.0011
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,No activos,>500.000 hab,363.0,0.0004
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,<10.000 hab,1761.0,0.0021
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,10.001-50.000 hab,2637.0,0.0031
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,50.001-100.000 hab,1574.0,0.0018
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,100.001-500.000 hab,2477.0,0.0029
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,>500.000 hab,1245.0,0.0015
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Desempleados,10.001-50.000 hab,288.0,0.0003
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Desempleados,50.001-100.000 hab,301.0,0.0004
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Desempleados,100.001-500.000 hab,268.0,0.0003
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,<10.000 hab,1380.0,0.0016
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,10.001-50.000 hab,1880.0,0.0022
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,50.001-100.000 hab,999.0,0.0012
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,100.001-500.000 hab,1889.0,0.0022
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,>500.000 hab,607.0,0.0007
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Pensionistas,<10.000 hab,320.0,0.0004
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Pensionistas,10.001-50.000 hab,337.0,0.0004
2017,15-34 años,20-24 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Pensionistas,100.001-500.000 hab,558.0,0.0007
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,18.000-99.999 ? /año,No activos,10.001-50.000 hab,279.0,0.0003
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,18.000-99.999 ? /año,No activos,50.001-100.000 hab,340.0,0.0004
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,18.000-99.999 ? /año,No activos,100.001-500.000 hab,465.0,0.0005
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Activos,<10.000 hab,400.0,0.0005
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Activos,10.001-50.000 hab,640.0,0.0007
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Activos,50.001-100.000 hab,375.0,0.0004
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Activos,100.001-500.000 hab,480.0,0.0006
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,<10.000 hab,512.0,0.0006
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,10.001-50.000 hab,833.0,0.001
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,50.001-100.000 hab,492.0,0.0006
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,100.001-500.000 hab,678.0,0.0008
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,>500.000 hab,323.0,0.0004
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,18.000-99.999 ? /año,No activos,<10.000 hab,283.0,0.0003
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,18.000-99.999 ? /año,No activos,10.001-50.000 hab,536.0,0.0006
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,18.000-99.999 ? /año,No activos,50.001-100.000 hab,503.0,0.0006
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,18.000-99.999 ? /año,No activos,100.001-500.000 hab,796.0,0.0009
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Activos,<10.000 hab,784.0,0.0009
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Activos,10.001-50.000 hab,1405.0,0.0016
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Activos,50.001-100.000 hab,1019.0,0.0012
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Activos,100.001-500.000 hab,1193.0,0.0014
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Activos,>500.000 hab,854.0,0.001
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,<10.000 hab,703.0,0.0008
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,10.001-50.000 hab,1149.0,0.0013
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,50.001-100.000 hab,657.0,0.0008
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,100.001-500.000 hab,1066.0,0.0012
2017,15-34 años,20-24 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,>500.000 hab,381.0,0.0004
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,Activos,<10.000 hab,449.0,0.0005
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,Activos,10.001-50.000 hab,704.0,0.0008
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,Activos,100.001-500.000 hab,437.0,0.0005
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,No activos,10.001-50.000 hab,498.0,0.0006
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,No activos,50.001-100.000 hab,452.0,0.0005
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,No activos,100.001-500.000 hab,448.0,0.0005
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,Activos,<10.000 hab,509.0,0.0006
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,Activos,10.001-50.000 hab,775.0,0.0009
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,Activos,50.001-100.000 hab,483.0,0.0006
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,Activos,100.001-500.000 hab,703.0,0.0008
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,Activos,>500.000 hab,323.0,0.0004
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,No activos,10.001-50.000 hab,373.0,0.0004
2017,15-34 años,25-29 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,No activos,100.001-500.000 hab,285.0,0.0003
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,18.000-99.999 ? /año,Activos,<10.000 hab,289.0,0.0003
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,18.000-99.999 ? /año,Activos,10.001-50.000 hab,360.0,0.0004
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,18.000-99.999 ? /año,Activos,100.001-500.000 hab,309.0,0.0004
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Activos,<10.000 hab,2789.0,0.0033
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Activos,10.001-50.000 hab,3618.0,0.0042
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Activos,50.001-100.000 hab,1890.0,0.0022
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Activos,100.001-500.000 hab,2816.0,0.0033
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Activos,>500.000 hab,1117.0,0.0013
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Desempleados,<10.000 hab,525.0,0.0006
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Desempleados,10.001-50.000 hab,676.0,0.0008
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Desempleados,50.001-100.000 hab,324.0,0.0004
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,Desempleados,100.001-500.000 hab,612.0,0.0007
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,<10.000 hab,690.0,0.0008
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,10.001-50.000 hab,1246.0,0.0015
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,50.001-100.000 hab,650.0,0.0008
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,100.001-500.000 hab,1049.0,0.0012
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,>500.000 hab,358.0,0.0004
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,Activos,10.001-50.000 hab,357.0,0.0004
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,Activos,100.001-500.000 hab,421.0,0.0005
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,Activos,>500.000 hab,297.0,0.0003
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,<10.000 hab,4239.0,0.005
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,10.001-50.000 hab,5720.0,0.0067
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,50.001-100.000 hab,3675.0,0.0043
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,100.001-500.000 hab,5832.0,0.0068
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,>500.000 hab,2945.0,0.0034
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Desempleados,<10.000 hab,880.0,0.001
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Desempleados,10.001-50.000 hab,1328.0,0.0016
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Desempleados,50.001-100.000 hab,781.0,0.0009
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Desempleados,100.001-500.000 hab,876.0,0.001
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Desempleados,>500.000 hab,285.0,0.0003
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,<10.000 hab,1133.0,0.0013
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,10.001-50.000 hab,1470.0,0.0017
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,50.001-100.000 hab,1173.0,0.0014
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,100.001-500.000 hab,1512.0,0.0018
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,>500.000 hab,608.0,0.0007
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Otras situaciones,10.001-50.000 hab,441.0,0.0005
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,Muy baja,Desempleados,<10.000 hab,386.0,0.0005
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,Muy baja,Desempleados,10.001-50.000 hab,646.0,0.0008
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,Muy baja,Desempleados,50.001-100.000 hab,328.0,0.0004
2017,15-34 años,25-29 años,N05B - ANSIOLITICOS,Mujer,Muy baja,Desempleados,100.001-500.000 hab,653.0,0.0008
2017,15-34 años,25-29 años,N05C - HIPNOTICOS Y SEDANTES,Hombre,<18.000 ? /año,Activos,10.001-50.000 hab,459.0,0.0005
2017,15-34 años,25-29 años,N05C - HIPNOTICOS Y SEDANTES,Mujer,<18.000 ? /año,Activos,10.001-50.000 hab,593.0,0.0007
2017,15-34 años,25-29 años,N05C - HIPNOTICOS Y SEDANTES,Mujer,<18.000 ? /año,Activos,50.001-100.000 hab,327.0,0.0004
2017,15-34 años,25-29 años,N05C - HIPNOTICOS Y SEDANTES,Mujer,<18.000 ? /año,Activos,100.001-500.000 hab,507.0,0.0006
2017,15-34 años,25-29 años,N05C - HIPNOTICOS Y SEDANTES,Mujer,<18.000 ? /año,Activos,>500.000 hab,287.0,0.0003
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Activos,<10.000 hab,1095.0,0.0013
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Activos,10.001-50.000 hab,1542.0,0.0018
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Activos,50.001-100.000 hab,1011.0,0.0012
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Activos,100.001-500.000 hab,1364.0,0.0016
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Activos,>500.000 hab,596.0,0.0007
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Desempleados,10.001-50.000 hab,424.0,0.0005
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,Desempleados,100.001-500.000 hab,303.0,0.0004
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,<10.000 hab,455.0,0.0005
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,10.001-50.000 hab,670.0,0.0008
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,50.001-100.000 hab,504.0,0.0006
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,100.001-500.000 hab,748.0,0.0009
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Hombre,<18.000 ? /año,No activos,>500.000 hab,289.0,0.0003
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Activos,<10.000 hab,2184.0,0.0026
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Activos,10.001-50.000 hab,2973.0,0.0035
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Activos,50.001-100.000 hab,1966.0,0.0023
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Activos,100.001-500.000 hab,3108.0,0.0036
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Activos,>500.000 hab,1725.0,0.002
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Desempleados,<10.000 hab,396.0,0.0005
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Desempleados,10.001-50.000 hab,660.0,0.0008
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Desempleados,50.001-100.000 hab,396.0,0.0005
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,Desempleados,100.001-500.000 hab,538.0,0.0006
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,<10.000 hab,793.0,0.0009
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,10.001-50.000 hab,1072.0,0.0013
2017,15-34 años,25-29 años,N06A - ANTIDEPRESIVOS,Mujer,<18.000 ? /año,No activos,50.001-100.000 hab,755.0,0.0009
